#,Job_ID,WeatherFile,ModelFile,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,@@P11@@,@@P12@@,@@P13@@,@@P14@@,@@P15@@,@@location@@,c0: A1,c1: A2,c2: A3,c3: A4,c4: A5,c5: A6,c6: A7,c7: A8,c8: P1,c9: P2,c10: P3,c11: P4,c12: P5,c13: P6,c14: P7,c15: P8,c16: Ptimestamp,c17: SPC_SenI_Fac,c18: SPC_SenD_Fac,c19: SPC_Lat_Fac,c20: SPC_Tot_Fac,c21: Ptime_SPC,c22: SPC_SenSizing_Fac,c23: SPC_SenI2_Fac,c24: SPC_SenI+D_Fac,c25: SPC_AirFrac,c26: SPC_AirFlow,c27: SPC_AirFlowperSPC,c28: P1_June,c29: P2_June,c30: P3_June,c31: P4_June,c32: P5_June,c33: P6_June,c34: P7_June,c35: P8_June,c36: SPC_ET_June,c37: P1_July,c38: P2_July,c39: P3_July,c40: P4_July,c41: P5_July,c42: P6_July,c43: P7_July,c44: P8_July,c45: SPC_ET_July,c46: P1_August,c47: P2_August,c48: P3_August,c49: P4_August,c50: P5_August,c51: P6_August,c52: P7_August,c53: P8_August,c54: SPC_ET_August,c55: An_Tes1,c56: P_Test1,c57: P_Time_Test1,c58: An_Tes2,c59: P_Test2,c60: P_Time_Test2,c61: An_Tes3,c62: P_Test3,c63: P_Time_Test3,c64: Cooling_Not_Met
123,01_Mean_T_Case_Medium_0046,GRC_Athens.epw_AN_T-3.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C3,620653.3,143267.12,19282.58,73.94,0,0,0,8088.36,240839.95,103795.99,9910.75,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226769.25,89232.13,10403.92,8.44,0,0,0,0,164419.91,240839.95,103795.99,9910.75,8.44,0,0,0,0,160327.89,240829.91,103903.95,9792.75,8.44,0,0,0,0,159995.48,547547.38,357377.96,0,388848.33,256223.4,0,158699.05,168522.31,0,0.83
124,01_Mean_T_Case_Medium_0047,GRC_Athens.epw_AN_T-3_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C3,612641.16,134727.55,19041.9,73.94,0,0,0,8856.47,237128.98,100114.69,9881.08,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224309.24,86843.5,10332.52,8.44,0,0,0,0,162976.54,237128.98,100114.69,9881.08,8.44,0,0,0,0,159284.2,236840.22,99979.26,9727.75,8.44,0,0,0,0,158629.76,516787.28,346155.38,0,371472.7,253130.54,0,145314.58,158788.03,0,0.5
125,01_Mean_T_Case_Medium_0048,GRC_Athens.epw_AN_T-4.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C3,637753.89,161278.05,19777.69,73.94,0,0,0,6682.9,249023.97,112006.71,9884.04,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232197.83,94695.61,10369,8.44,0,0,0,0,165495.1,249005.13,111821.74,10050.17,8.44,0,0,0,0,163122.75,249023.97,112006.71,9884.04,8.44,0,0,0,0,162386.36,611355.49,380002.48,0,424440.56,262965.07,0,186914.93,196944.67,0,2
126,01_Mean_T_Case_Medium_0049,GRC_Athens.epw_AN_T-4_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C3,629022.12,152112.51,19529.18,73.94,0,0,0,7365.18,244831,107725.82,9971.97,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229068.1,91505.39,10429.49,8.44,0,0,0,0,165464.51,244831,107725.82,9971.97,8.44,0,0,0,0,161676.07,244789.01,107832.75,9823.05,8.44,0,0,0,0,161057.51,579024.46,368770.13,0,406491.51,259770.39,0,172532.95,182700.14,0,1
127,01_Mean_T_Case_Medium_0050,GRC_Athens.epw_AN_T-5.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C3,656380.75,180725.16,20273.08,73.94,0,0,0,5367.27,257435.38,120459.98,9842.19,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239417.06,101787.21,10496.64,8.44,0,0,0,0,168209.62,257435.38,120459.98,9842.19,8.44,0,0,0,0,162866.71,257406.17,120378.69,9894.26,8.44,0,0,0,0,164060.2,678802.99,403153.77,0,460988.97,269296.68,0,217814.02,222759.85,0,2.33
128,01_Mean_T_Case_Medium_0051,GRC_Athens.epw_AN_T-5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C3,646870.02,170804.33,20024.56,73.94,0,0,0,6025.88,253236.08,116196.64,9906.23,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235751.13,98184.84,10433.07,8.44,0,0,0,0,166856.07,253217.34,115979.94,10104.19,8.44,0,0,0,0,164390.21,253236.08,116196.64,9906.23,8.44,0,0,0,0,163399.56,644539.93,391682.05,0,442640.7,265797,0,201899.23,205868.99,0,2
129,01_Mean_T_Case_Medium_0052,GRC_Athens.epw_AN_T-6_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C3,666321.62,190984.17,20521.46,73.94,0,0,0,4800.75,262039.87,124959.21,9947.45,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243205.92,105506.28,10566.43,8.44,0,0,0,0,169623.2,261873.45,124875.23,9865.01,8.44,0,0,0,0,163837.58,262039.87,124959.21,9947.45,8.44,0,0,0,0,165311.72,713896.55,415412.78,0,479541.98,271946.36,0,234354.57,223774.52,0,2.67
130,01_Mean_T_Case_Medium_0053,PRT_Lisbon.epw_AN_T-0.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,555580.43,80423.16,16401.33,73.94,0,0,0,8745.64,226191.33,91132.74,7925.38,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195691.52,61177.83,7380.47,8.44,0,0,0,0,128089.67,209187.55,74287.34,7767,8.44,0,0,0,0,130791.73,226191.33,91132.74,7925.38,8.44,0,0,0,0,132351.26,326294.48,311595.99,0,226371.03,204349.03,0,99923.45,164081.58,0,0
131,01_Mean_T_Case_Medium_0054,PRT_Lisbon.epw_AN_T-0_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,549776.66,73952.05,16163.23,73.94,0,0,0,9651.07,222402.55,87419.58,7849.76,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192945.76,58523.92,7288.63,8.44,0,0,0,0,126559.63,205944.24,71138.5,7672.53,8.44,0,0,0,0,129250.8,222402.55,87419.58,7849.76,8.44,0,0,0,0,130892.61,299848.03,302455.94,0,210983.69,200626.67,0,88864.34,158964.72,0,0
132,01_Mean_T_Case_Medium_0055,PRT_Lisbon.epw_AN_T-1.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,569473.52,95326.74,16900.31,73.94,0,0,0,7236.17,234396.49,99132.53,8130.75,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201511.4,66817.14,7561.05,8.44,0,0,0,0,131122.52,216006.83,80925,7948.62,8.44,0,0,0,0,134017.21,234396.49,99132.53,8130.75,8.44,0,0,0,0,136037.9,386906.68,331040.26,0,258926.38,212483.99,0,127980.3,164382.63,0,0
133,01_Mean_T_Case_Medium_0056,PRT_Lisbon.epw_AN_T-1_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,562278.55,87653.47,16649.07,73.94,0,0,0,7965.71,230222.4,95061.91,8027.27,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198565.2,63959.87,7472.12,8.44,0,0,0,0,129616,212552.31,77558.7,7860.4,8.44,0,0,0,0,132405.72,230222.4,95061.91,8027.27,8.44,0,0,0,0,134175.29,355734.32,321222.24,0,242310,208389.46,0,113424.32,161152.18,0,0
134,01_Mean_T_Case_Medium_0057,PRT_Lisbon.epw_AN_T-2.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,584998.79,111671.2,17409.9,73.94,0,0,0,5907.38,242963.29,107529.4,8300.68,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207685.93,72812.79,7739.93,8.44,0,0,0,0,134227.4,223301.01,88032.63,8135.17,8.44,0,0,0,0,137297.9,242963.29,107529.4,8300.68,8.44,0,0,0,0,139349.09,452873.58,350587.41,0,293722.28,220188.39,0,159151.3,170490.78,0,0
135,01_Mean_T_Case_Medium_0058,PRT_Lisbon.epw_AN_T-2_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,577025.61,103305.86,17155.22,73.94,0,0,0,6554.22,238643.91,103289.31,8221.39,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204546.68,69762.98,7650.49,8.44,0,0,0,0,132631.56,219596.83,84420.2,8043.42,8.44,0,0,0,0,135637.97,238643.91,103289.31,8221.39,8.44,0,0,0,0,137759.74,419192.96,340828.45,0,276051.16,216420.45,0,143141.8,170027.47,0,0
136,01_Mean_T_Case_Medium_0059,PRT_Lisbon.epw_AN_T-3.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,602138.02,129439.34,17933.98,73.94,0,0,0,4754.4,252272.23,116637.7,8501.32,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214276.93,79225.79,7917.93,8.44,0,0,0,0,137459.7,231081.79,95630.06,8318.52,8.44,0,0,0,0,140736.4,252272.23,116637.7,8501.32,8.44,0,0,0,0,142943.32,523650.12,371137.11,0,330404.83,228264.69,0,193245.29,177234.44,0,0
137,01_Mean_T_Case_Medium_0060,PRT_Lisbon.epw_AN_T-3_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,593454.74,120462.39,17671.06,73.94,0,0,0,5310.98,247552.55,112016.52,8402.82,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210937.05,75975.37,7828.47,8.44,0,0,0,0,135814.33,227120.37,91763.08,8224.08,8.44,0,0,0,0,139015.93,247552.55,112016.52,8402.82,8.44,0,0,0,0,141159.87,488029.52,360801.69,0,311858.16,224235.4,0,176171.37,173734.97,0,0
138,01_Mean_T_Case_Medium_0061,PRT_Lisbon.epw_AN_T-4.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,620463.35,148229.34,18470.6,73.94,0,0,0,3753.11,262174.42,131385.94,8792.85,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221306.92,86077.29,8096.42,8.44,0,0,0,0,140846.52,239378.66,103747.36,8498.08,8.44,0,0,0,0,144139.69,262174.42,131385.94,8792.85,8.44,0,0,0,0,146546.54,597194.75,392216.68,0,368508.96,236246.59,0,228685.8,181474.71,0,0
139,01_Mean_T_Case_Medium_0062,PRT_Lisbon.epw_AN_T-4_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,611139.38,138692.33,18200.67,73.94,0,0,0,4236.07,257086.86,121364.82,8588.83,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217731.64,82591.66,8006.76,8.44,0,0,0,0,139153.21,235157.5,99616.73,8407.56,8.44,0,0,0,0,142445.06,257086.86,121364.82,8588.83,8.44,0,0,0,0,144600.91,560018.31,381484.97,0,349329.49,232151.1,0,210688.82,169808.99,0,0
140,01_Mean_T_Case_Medium_0063,PRT_Lisbon.epw_AN_T-5.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,640115,168173.71,19019.88,73.94,0,0,0,2911.1,273139.55,142144.61,8999.31,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228814.03,93404.45,8276.37,8.44,0,0,0,0,144216.45,248264.42,112449.03,8682.18,8.44,0,0,0,0,147533.78,273139.55,142144.61,8999.31,8.44,0,0,0,0,150097.98,673969.17,413902.45,0,407506.83,244174.1,0,266462.33,209282.09,0,0
141,01_Mean_T_Case_Medium_0064,PRT_Lisbon.epw_AN_T-5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,630136.36,158066.33,18745.13,73.94,0,0,0,3314.6,267529.95,136645.38,8888.93,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224999.77,89680.3,8186.26,8.44,0,0,0,0,142536.72,243747.38,108024.37,8589.79,8.44,0,0,0,0,145840.49,267529.95,136645.38,8888.93,8.44,0,0,0,0,148268.77,635216.47,402902.08,0,387968.72,240142.26,0,247247.75,194304.59,0,0
142,01_Mean_T_Case_Medium_0065,PRT_Lisbon.epw_AN_T-6_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C5,650346.71,178494.82,19299.66,73.94,0,0,0,2541.92,278864.93,147771.85,9097.45,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232754.76,97254.97,8366.58,8.44,0,0,0,0,145887.64,253131.55,117929.72,8068.62,8.44,0,0,0,0,142933.69,278864.93,147771.85,9097.45,8.44,0,0,0,0,151820.53,712950.82,424957.03,0,427369.77,248089.01,0,285581.05,225001.56,0,0.17
143,01_Mean_T_Case_Medium_0066,SGP_Singapore.epw_AN_T-0.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C1,766624.49,291989.08,24457.32,73.94,0,0,0,0,234113.03,96720.79,10259.03,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234113.03,96720.79,10259.03,8.44,0,0,0,0,151462.29,227769.4,90577.23,10058.96,8.44,0,0,0,0,149521.24,223047.72,86110.91,9803.6,8.44,0,0,0,0,147511.49,1206005.83,372474.13,0,623536.54,212345.93,0,582469.29,237442.21,0,4.17
144,01_Mean_T_Case_Medium_0067,SGP_Singapore.epw_AN_T-0_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C1,752473.35,278253.68,24041.59,73.94,0,0,0,0,230289.6,92962.46,10193.93,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230289.6,92962.46,10193.93,8.44,0,0,0,0,150077.31,224152.03,87036.8,9982.01,8.44,0,0,0,0,148045.66,219536.76,82688.19,9715.35,8.44,0,0,0,0,145948.91,1157332.04,361544.65,0,605939.06,208812.33,0,551392.97,223898.85,0,2.17
145,01_Mean_T_Case_Medium_0068,SGP_Singapore.epw_AN_T-1.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C1,796581,321100.18,25302.74,73.94,0,0,0,0,242111.74,104606.22,10372.31,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242111.74,104606.22,10372.31,8.44,0,0,0,0,154078.7,235376.42,98031,10212.21,8.44,0,0,0,0,152448.1,230244.12,93179.01,9931.9,8.44,0,0,0,0,150242.21,1306609.35,394773.65,0,659149.76,219392.67,0,647459.6,252834.72,0,13.67
146,01_Mean_T_Case_Medium_0069,SGP_Singapore.epw_AN_T-1_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C1,781328.21,306273.34,24876.78,73.94,0,0,0,0,238059.61,100605.88,10320.53,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238059.61,100605.88,10320.53,8.44,0,0,0,0,152813.39,231503.45,94235.87,10134.36,8.44,0,0,0,0,150981.22,226552.66,89560.22,9859.22,8.44,0,0,0,0,148815.87,1255787.79,383568.65,0,641286.34,215888.73,0,614501.45,251472.78,0,8
147,01_Mean_T_Case_Medium_0070,SGP_Singapore.epw_AN_T-2.5_Rm-1_Rd-1.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.049,0.049,0.3,2.6118,10.76,10.76,18.58,24,0,0.000673,0.36,3.23372,0,0,0,C1,828837.9,352498.12,26161.7,73.94,0,0,0,0,250703.5,113084.69,10485.6,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250703.5,113084.69,10485.6,8.44,0,0,0,0,156655.01,243324.41,105874.11,10317.08,8.44,0,0,0,0,154975.35,237857.54,100687.69,10036.64,8.44,0,0,0,0,152726.69,1411326.22,417880,0,695241.92,226035.98,0,716084.3,270127.68,0,25.33
