#,Job_ID,WeatherFile,ModelFile,@@P1@@,@@P2@@,@@P3@@,@@P4@@,@@P5@@,@@P6@@,@@P7@@,@@P8@@,@@P9@@,@@P10@@,@@P11@@,@@P12@@,@@P13@@,@@P14@@,@@P15@@,@@location@@,c0: A1,c1: A2,c2: A3,c3: A4,c4: A5,c5: A6,c6: A7,c7: A8,c8: P1,c9: P2,c10: P3,c11: P4,c12: P5,c13: P6,c14: P7,c15: P8,c16: Ptimestamp,c17: SPC_SenI_Fac,c18: SPC_SenD_Fac,c19: SPC_Lat_Fac,c20: SPC_Tot_Fac,c21: Ptime_SPC,c22: SPC_SenSizing_Fac,c23: SPC_SenI2_Fac,c24: SPC_SenI+D_Fac,c25: SPC_AirFrac,c26: SPC_AirFlow,c27: SPC_AirFlowperSPC,c28: P1_June,c29: P2_June,c30: P3_June,c31: P4_June,c32: P5_June,c33: P6_June,c34: P7_June,c35: P8_June,c36: SPC_ET_June,c37: P1_July,c38: P2_July,c39: P3_July,c40: P4_July,c41: P5_July,c42: P6_July,c43: P7_July,c44: P8_July,c45: SPC_ET_July,c46: P1_August,c47: P2_August,c48: P3_August,c49: P4_August,c50: P5_August,c51: P6_August,c52: P7_August,c53: P8_August,c54: SPC_ET_August,c55: An_Tes1,c56: P_Test1,c57: P_Time_Test1,c58: An_Tes2,c59: P_Test2,c60: P_Time_Test2,c61: An_Tes3,c62: P_Test3,c63: P_Time_Test3,c64: Cooling_Not_Met
656,Case_C1_Medium_0657,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.015714286,0.069285714,0.075,4.428571429,9.285714286,19.71428571,7.142857143,21,0,0.003628571,1.5,5.5,0,0.285714286,0,C1,1305969.79,551848.75,141399.91,73.94,0,0,0,1320.88,367692.85,142938.27,60354.63,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367116.9,0,60354.63,8.44,0,0,0,0,209981.32,363749.46,0,60354.63,8.44,0,0,0,0,213510.67,362816.89,0,60354.63,8.44,0,0,0,0,227361,3556053.97,1000643.62,0,1511545.31,557373.44,0,2044508.66,650993.3,0,2119.5
657,Case_C1_Medium_0658,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.015714286,0.069285714,0.075,4.428571429,9.285714286,10.57142857,7.142857143,21,0,0.003628571,1.5,5.5,0,0.285714286,0,C1,1070614.82,467660.29,153392.77,73.94,0,0,0,238.65,289123.71,120135.45,50139.71,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288479.06,0,50139.71,8.44,0,0,0,0,156815.37,285657.13,0,50139.71,8.44,0,0,0,0,160398.27,284675.3,0,50139.71,8.44,0,0,0,0,172238.61,3138920.83,858640.56,0,1324000.51,476722.25,0,1814920.33,580206.65,0,3104.83
658,Case_C1_Medium_0659,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.015714286,0.069285714,0.075,4.428571429,9.285714286,10.57142857,7.142857143,23.85714286,0,0.003628571,1.5,5.5,0,0.285714286,0,C1,868587.76,325497.25,93767.4,73.94,0,0,0,0,240053.27,73912.73,30240.3,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238424.18,0,34776.01,8.44,0,0,0,0,113165.59,237136.11,0,34776.01,8.44,0,0,0,0,92062.28,235436.34,0,34776.01,8.44,0,0,0,0,128473.42,2128354.8,628893.44,0,857161.22,359115.44,0,1271193.58,454929.2,0,2322.83
659,Case_C1_Medium_0660,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.015714286,0.069285714,0.075,4.428571429,17.85714286,10.57142857,7.142857143,23.85714286,0,0.003628571,1.5,5.5,0,0.285714286,0,C1,1040789.24,343944.77,107821.68,73.94,0,0,0,0,290918.15,76375.73,35937.73,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284950.45,0,35937.73,8.44,0,0,0,0,136243.05,283345.23,0,35937.73,8.44,0,0,0,0,98799.87,282335.98,0,35869.87,8.44,0,0,0,0,92011.08,2299712.04,647519.25,0,933911.8,369380.43,0,1365800.24,463851.09,0,2648
660,Case_C1_Medium_0661,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.015714286,0.069285714,0.317857143,4.428571429,17.85714286,10.57142857,7.142857143,23.85714286,0,0.003628571,1.5,5.5,0,0.285714286,0,C1,1101225.11,428208.97,83993.35,73.94,0,0,0,0,316036.56,109299.98,45183.58,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315362.58,0,45183.58,8.44,0,0,0,0,182765.06,312800.3,0,45183.58,8.44,0,0,0,0,185899.47,311411.09,0,44955.32,8.44,0,0,0,0,162175.8,2612943.34,790692.46,0,1080619.58,446113.98,0,1532323.77,544530.67,0,1465.33
661,Case_C1_Medium_0662,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.015714286,0.069285714,0.317857143,4.428571429,17.85714286,10.57142857,7.142857143,23.85714286,0,0.000885714,1.5,5.5,0,0.285714286,0,C1,985039.25,361209.29,34807.18,73.94,0,0,0,0,271582.44,96727.46,13301.99,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271582.44,0,13301.99,8.44,0,0,0,0,214927.08,269842.67,0,13813.54,8.44,0,0,0,0,217421.34,265092.57,0,12709.8,8.44,0,0,0,0,207549.91,1748726.55,528366.56,0,911987.85,312046.3,0,836738.7,339166.3,0,3.83
662,Case_C1_Medium_0663,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.015714286,0.069285714,0.317857143,4.428571429,17.85714286,10.57142857,7.142857143,23.85714286,0,0.000885714,1.5,3.614285714,0,0.285714286,0,C1,1029464.52,405634.55,34807.18,73.94,0,0,0,0,301908.76,130355.89,15137.45,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301908.76,0,15137.45,8.44,0,0,0,0,225183.65,294947.96,0,13813.54,8.44,0,0,0,0,217421.34,287387.12,0,12661.38,8.44,0,0,0,0,204604.95,1748726.55,528366.56,0,911987.85,312046.3,0,836738.7,339166.3,0,3.83
663,Case_C1_Medium_0664,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.005,0.037142857,0.257142857,4.428571429,13.57142857,8.285714286,5,21,0,0.004314286,1.292857143,2.671428571,0,0.571428571,0,C1,1673374.04,1021603.11,144330.18,73.94,0,0,0,1855.46,511582.04,317951.35,64817.77,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,510077.86,0,64817.77,8.44,0,0,0,0,198181.54,502600.95,0,64817.77,8.44,0,0,0,0,203931.25,501596.22,0,64817.77,8.44,0,0,0,0,181367.86,3830448.85,1093921.27,0,1597654.62,603056.17,0,2232794.23,725256.44,0,2044
664,Case_C1_Medium_0665,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.005,0.037142857,0.257142857,4.428571429,13.57142857,8.285714286,5,21,0,0.001571429,1.292857143,2.671428571,0,0.571428571,0,C1,1229792.3,664560.18,57068.71,73.94,0,0,0,2578.13,376694.08,232915.35,22993.28,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373362.74,0,21965.41,8.44,0,0,0,0,248305.02,356823.11,0,19910.21,8.44,0,0,0,0,237210.85,351512.37,0,21267.01,8.44,0,0,0,0,246109.11,2526363.67,848902.01,0,1233802.99,403082.86,0,1292560.68,517869.36,0,32.33
665,Case_C1_Medium_0666,SGP_Singapore.epw,Medium_Office_DOE_JP1_Sizing_File.imf,0.005,0.037142857,0.257142857,4.428571429,13.57142857,8.285714286,13.57142857,21,0,0.001571429,1.292857143,2.671428571,0,0.571428571,0,C1,1153445.27,600245.1,46587.17,73.94,0,0,0,1027.72,349000.84,209404.27,18811.11,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344709.74,0,16021.35,8.44,0,0,0,0,195244.98,329225.62,0,17640.96,8.44,0,0,0,0,204140.55,325693.32,0,17374.77,8.44,0,0,0,0,202758.17,2306385.94,775840.6,0,1070633.45,352110.35,0,1235752.49,488467.36,0,43
