C1_Large_Case_000_Measure_9,SGP_Singapore.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_001_Measure_9,SGP_Singapore_Case_001_AN_T-4.443_Rm-1.179_HW-1.101_RH--4.889_SR-1.197.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_002_Measure_9,SGP_Singapore_Case_002_AN_T-0.541_Rm-1.291_HW-1.684_RH--2.893_SR-1.174.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_003_Measure_9,SGP_Singapore_Case_003_AN_T-3.284_Rm-1.358_HW-1.286_RH--0.579_SR-1.101.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_004_Measure_9,SGP_Singapore_Case_004_AN_T-4.801_Rm-1.191_HW-1.324_RH--1.949_SR-1.245.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_005_Measure_9,SGP_Singapore_Case_005_AN_T-2.401_Rm-1.065_HW-1.196_RH--2.262_SR-1.032.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_006_Measure_9,SGP_Singapore_Case_006_AN_T-3.013_Rm-1.322_HW-1.623_RH--1.262_SR-1.057.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_007_Measure_9,SGP_Singapore_Case_007_AN_T-2.821_Rm-1.25_HW-1.502_RH--4.845_SR-1.16.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_008_Measure_9,SGP_Singapore_Case_008_AN_T-2.26_Rm-1.308_HW-1.095_RH--2.071_SR-1.192.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_009_Measure_9,SGP_Singapore_Case_009_AN_T-1.736_Rm-1.482_HW-1.065_RH--2.174_SR-1.067.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_010_Measure_9,SGP_Singapore_Case_010_AN_T-2.051_Rm-1.101_HW-1.243_RH--4.473_SR-1.202.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_011_Measure_9,SGP_Singapore_Case_011_AN_T-2.539_Rm-1.458_HW-1.239_RH--0.766_SR-1.043.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_012_Measure_9,SGP_Singapore_Case_012_AN_T-2.848_Rm-1.206_HW-1.435_RH--0.865_SR-1.189.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_013_Measure_9,SGP_Singapore_Case_013_AN_T-4.851_Rm-1.631_HW-1.019_RH--2.458_SR-1.169.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_014_Measure_9,SGP_Singapore_Case_014_AN_T-2.296_Rm-1.368_HW-1.512_RH--4.351_SR-1.137.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_015_Measure_9,SGP_Singapore_Case_015_AN_T-3.087_Rm-1.059_HW-1.683_RH--2.726_SR-1.162.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_016_Measure_9,SGP_Singapore_Case_016_AN_T-2.708_Rm-1.437_HW-1.535_RH--0.182_SR-1.237.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_017_Measure_9,SGP_Singapore_Case_017_AN_T-4.871_Rm-1.141_HW-1.401_RH--2.421_SR-1.198.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_018_Measure_9,SGP_Singapore_Case_018_AN_T-1.355_Rm-1.283_HW-1.204_RH--1.527_SR-1.246.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_019_Measure_9,SGP_Singapore_Case_019_AN_T-4.324_Rm-1.552_HW-1.385_RH--0.236_SR-1.242.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_020_Measure_9,SGP_Singapore_Case_020_AN_T-0.351_Rm-1.154_HW-1.094_RH--1.189_SR-1.139.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_021_Measure_9,SGP_Singapore_Case_021_AN_T-4.588_Rm-1.367_HW-1.009_RH--1.362_SR-1.184.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_022_Measure_9,SGP_Singapore_Case_022_AN_T-0.081_Rm-1.704_HW-1.426_RH--1.627_SR-1.055.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_023_Measure_9,SGP_Singapore_Case_023_AN_T-1.96_Rm-1.335_HW-1.42_RH--0.935_SR-1.191.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_024_Measure_9,SGP_Singapore_Case_024_AN_T-2.037_Rm-1.469_HW-1.017_RH--4.008_SR-1.137.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_025_Measure_9,SGP_Singapore_Case_025_AN_T-3.127_Rm-1.659_HW-1.61_RH--2.109_SR-1.108.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_026_Measure_9,SGP_Singapore_Case_026_AN_T-0.763_Rm-1.433_HW-1.247_RH--0.622_SR-1.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_027_Measure_9,SGP_Singapore_Case_027_AN_T-4.888_Rm-1.678_HW-1.331_RH--0.507_SR-1.131.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_028_Measure_9,SGP_Singapore_Case_028_AN_T-3.479_Rm-1.166_HW-1.649_RH--0.012_SR-1.199.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_029_Measure_9,SGP_Singapore_Case_029_AN_T-4.946_Rm-1.174_HW-1.647_RH--2.503_SR-1.039.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_030_Measure_9,SGP_Singapore_Case_030_AN_T-0.936_Rm-1.239_HW-1.084_RH--4.977_SR-1.13.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_031_Measure_9,SGP_Singapore_Case_031_AN_T-0.736_Rm-1.144_HW-1.429_RH--0.334_SR-1.051.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
C1_Large_Case_032_Measure_9,SGP_Singapore_Case_032_AN_T-3.686_Rm-1.548_HW-1.346_RH--2.791_SR-1.104.epw,Large_Office_DOE_JP1_Sizing_File.imf,1.311,0.049,0.15,6.92716,7.5,7.5,18.58,27,6.7,0.0004312,0.000302,6.5,0.2,0,0,C1
